Centroid,Rate,Rate_uncertainty,Background_Rate,Background_Subtracted_Rate,Background_Subtracted_Rate_uncertainty
-138.75,12.000374411681644,4.899132338495317,54.10005915109689,-42.09968473941525,4.923567065328906
-138.25,60.00936146038782,10.956160311111857,54.095898860190225,5.913462600197597,11.010804841173531
-137.75,62.00999601135703,11.137324062298886,54.09173856928356,7.918257442073475,11.192872157822064
-137.25,42.00458690088958,9.166152333746526,54.087578278376895,-12.082991377487318,9.211869087839958
-136.75,70.01274231910207,11.834313411240078,54.08341798747023,15.929324331631847,11.893337784432566
-136.25,44.00503417590972,9.381904809557073,54.07925769656356,-10.074223520653838,9.428697642524446
-135.75,54.00758266460611,10.393764129897102,54.0750974056569,-0.06751474105078614,10.445603674073368
-135.25,56.008154787337034,10.584546354207536,54.07093711475023,1.9372176725868044,10.63733743657743
-134.75,68.01202452593618,11.663965978875666,54.06677682384357,13.945247702092615,11.722140733668603
-134.25,52.007031350638606,10.199417988497613,54.0626165329369,-2.0555851822982945,10.250288219222403
-133.75,36.00336991542409,8.486075670921368,54.05845624203023,-18.055086326606144,8.528400500417977
-133.25,64.01065137238837,11.31559141339595,54.05429595112357,9.956355421264796,11.372028628405284
-132.75,54.00758266460611,10.393764129897102,54.0501356602169,-0.042552995610790845,10.445603674073368
-132.25,54.00758266460611,10.393764129897102,54.045975369310234,-0.03839270470412259,10.445603674073368
-131.75,54.00758266460611,10.393764129897102,54.04181507840357,-0.03423241379746145,10.445603674073368
-131.25,54.00758266460611,10.393764129897102,54.037654787496905,-0.030072122890793196,10.445603674073368
-130.75,44.00503417590972,9.381904809557073,54.03349449659024,-10.028460320680516,9.428697642524446
-130.25,62.00999601135703,11.137324062298886,54.029334205683575,7.980661805673456,11.192872157822064
-129.75,60.00936146038782,10.956160311111857,54.02517391477691,5.984187545610915,11.010804841173531
-129.25,44.00503417590972,9.381904809557073,54.02101362387024,-10.015979447960518,9.428697642524446
-128.75,58.00874771915605,10.771954024935967,54.01685333296358,3.9918943861924703,10.825679814703904
-128.25,84.01834960755428,12.964312802731836,54.01269304205691,30.005656565497375,13.028973118076012
-127.75,54.00758266460611,10.393764129897102,54.00853275115024,-0.0009500865441296469,10.445603674073368
