Centroid,Rate,Rate_Uncertainty,Lo_Edge,Hi_Edge,Width
-138.62400000000002,741.5995378905947,144.45940091112644,-138.752,-138.496,0.2560000000000002
-138.368,922.0685474986052,146.665688056644,-138.496,-138.24,0.2560000000000002
-138.11200000000002,965.107640156793,147.01574583309366,-138.24,-137.984,0.2560000000000002
-137.856,984.6719166751907,147.05344176587587,-137.984,-137.728,0.2560000000000002
-137.60000000000002,945.2400046796166,146.30068630033523,-137.728,-137.472,0.2560000000000002
-137.344,992.2114924168443,146.7055959580246,-137.472,-137.216,0.2560000000000002
-137.08800000000002,889.8573100577769,145.10172054786577,-137.216,-136.96,0.2560000000000002
-136.832,960.6423559287224,145.83516880074166,-136.96,-136.704,0.2560000000000002
-136.57600000000002,999.7357455245831,146.13650577655267,-136.704,-136.448,0.2560000000000002
-136.32,988.048976673016,145.7588093133115,-136.448,-136.192,0.2560000000000002
-136.06400000000002,1018.9719683501487,145.94703970020785,-136.192,-135.936,0.2560000000000002
-135.808,940.2971311145446,144.66023102829172,-135.936,-135.68,0.2560000000000002
-135.55200000000002,967.7102478532656,144.80879024934927,-135.68,-135.424,0.2560000000000002
-135.296,1050.2819523976016,145.70527115590164,-135.424,-135.168,0.2560000000000002
-135.04000000000002,1073.7320610816855,145.79977474347132,-135.168,-134.912,0.2560000000000002
-134.784,963.4216858334362,144.0799203988628,-134.912,-134.656,0.2560000000000002
-134.52800000000002,1089.1941504443666,145.5661338752506,-134.656,-134.4,0.2560000000000002
-134.272,959.1246945583024,143.57269243232585,-134.4,-134.144,0.2560000000000002
-134.01600000000002,931.6973418284715,142.97568197159364,-134.144,-133.888,0.2560000000000002
-133.76,970.7297119394186,143.28612474590514,-133.888,-133.632,0.2560000000000002
-133.50400000000002,962.828666695172,142.95574089763636,-133.632,-133.376,0.2560000000000002
-133.248,986.4074820629966,143.05861978993696,-133.376,-133.12,0.2560000000000002
-132.99200000000002,1096.1824249687995,144.33653298934513,-133.12,-132.864,0.2560000000000002
-132.736,860.3266810143905,140.86492154846619,-132.864,-132.608,0.2560000000000002
-132.48000000000002,989.6903889210331,142.43308407520067,-132.608,-132.352,0.2560000000000002
-132.224,938.2923766192756,141.49646768745438,-132.352,-132.096,0.2560000000000002
-131.96800000000002,946.2866300049939,141.38803621197223,-132.096,-131.84,0.2560000000000002
-131.712,895.1389946140324,140.45231606740356,-131.84,-131.584,0.2560000000000002
-131.45600000000002,1001.1856742040147,141.70744094540183,-131.584,-131.328,0.2560000000000002
-131.2,906.4753119710009,140.16070780168394,-131.328,-131.072,0.2560000000000002
-130.94400000000002,1008.5803922627878,141.36435762232608,-131.072,-130.816,0.2560000000000002
-130.688,1134.4209105436978,142.88719870742904,-130.816,-130.56,0.2560000000000002
-130.43200000000002,1008.1756404567575,140.91431960015618,-130.56,-130.304,0.2560000000000002
-130.176,1114.4407426736857,142.17356840893427,-130.304,-130.048,0.2560000000000002
-129.92000000000002,1015.9473570406118,140.58333663417423,-130.048,-129.792,0.2560000000000002
-129.664,956.8730743005752,139.53326184390883,-129.792,-129.536,0.2560000000000002
-129.40800000000002,1047.20841786186,140.58078850100972,-129.536,-129.28,0.2560000000000002
-129.152,944.8327997469394,138.91944189498875,-129.28,-129.024,0.2560000000000002
-128.89600000000002,1050.90880675412,140.19353508568378,-129.024,-128.768,0.2560000000000002
-128.64,846.2808872700806,137.06932331524837,-128.768,-128.512,0.2560000000000002
-128.38400000000001,1030.794174731846,139.4685702228858,-128.512,-128.256,0.2560000000000002
-128.128,987.5712065125985,138.6394270017698,-128.256,-128.0,0.2560000000000002
-127.872,1006.965971988983,138.69204872105865,-128.0,-127.744,0.2560000000000002
-127.616,1003.0532543399378,138.41845585398215,-127.744,-127.488,0.2560000000000002
-127.36,1038.3123012893295,138.69902780624082,-127.488,-127.232,0.2560000000000002
-127.104,947.722175056906,137.1873341510684,-127.232,-126.976,0.2560000000000002
-126.848,994.9800505405398,137.6456852476936,-126.976,-126.72,0.2560000000000002
-126.592,884.7444025607562,135.83938443372608,-126.72,-126.464,0.2560000000000002
-126.336,1108.5325339967374,138.82026238506822,-126.464,-126.208,0.2560000000000002
-126.08,919.6637666717128,135.8976162817788,-126.208,-125.952,0.2560000000000002
-125.824,954.9829357456579,136.18784201236497,-125.952,-125.696,0.2560000000000002
-125.568,935.2447058969973,135.68234669138675,-125.696,-125.44,0.2560000000000002
